トラック名	アーティスト名	アルバム名	アルバムアーティスト名	トラックの長さ（ミリ秒）	人気度	追加者	追加日時
禁绝边境线 爵士版（いけないボーダーライン）（Cover ワルキューレ）	最大值胖达	"Hello,Panda!"		171000	0	8	2022/10/9 21:54
島アイモ	ランカ・リー=中島愛	"「劇場版 マクロスF ～サヨナラノツバサ～」netabare album　the end of ""triangle"""	"シェリル・ノーム starring May'n   , ランカ・リー=中島愛, 菅野よう子"	94120	18	6	2022/10/9 21:57
Found a Light	Lyn	PERSONA5 the Animation Original Soundtrack Vol.1		308000	0	5	2022/10/9 21:59
ピアノ泥棒	amazarashi	アノミー	amazarashi	331213	26	3	2022/10/9 22:11
当然是选择原谅她啊-日语版-（Cover PoKeR）	ゆう十	当然是选择原谅她啊（日语版）		139000	0	8	2022/10/9 22:25
戦線のリアリズム	新菜まこ	ひげこれ! HIGEDRIVER BEST in KADOKAWA ANISON	ヒゲドライバー	270579	19	3	2022/10/9 22:44
夜明けと蛍	赤ティン	re:stArT		309000	0	8	2022/10/9 22:50
Meru	かんせる	かんせる歌曲集		218000	0	5	2022/10/10 18:04
ONE OK ROCK - Unplugged	ZION.M朱祉悦	《ONE OK ROCK-Unplugged》		543000	0	6	2022/10/10 18:05
心予報	Eve	心予報	Eve	199995	48	8	2022/10/10 18:18
GHEN (cloudfield Remix)	ERIK St.319/cloudfield	GHEN (cloudfield Remix)		244000	0	8	2022/10/11 18:58
Cytus II Cherry / Rua feat. K - Still				184000	0	1	2022/10/11 19:04
Crystalline	いとうかなこ	〜 DMMd period. 〜 DRAMAtical Murder re:connect soundtrack	ニトロプラス キラル	253493	8	6	2022/10/13 19:02
ブリキの月	セカイイチ	セカイイチ	セカイイチ	357440	9	5	2022/10/13 19:13
空っぽの空に潰される	amazarashi	千年幸福論	amazarashi	340373	35	2	2022/10/13 19:31
千年幸福論	amazarashi	千年幸福論	amazarashi	325426	28	7	2022/10/13 19:31
夢花火	赤ティン	最新热歌慢摇108		266000	0	4	2022/10/13 19:48
さよならだけが人生だ	赤ティン	最新热歌慢摇105		313000	0	8	2022/10/13 19:48
上弦之月	赤ティン	最新热歌慢摇108		240000	0	4	2022/10/13 19:48
99.9	"MOB CHOIR, sajou no hana"	99.9	MOB CHOIR	188706	37	5	2022/10/13 19:54
Drown	milet	eyes	milet	214373	54	5	2022/10/14 12:17
I wanna take you home	"SEGA SOUND TEAM, 稲毛 謙介, 荒井 善博"	龍が如く0 誓いの場所 オリジナルサウンドトラック (Side B)	SEGA SOUND TEAM	104805	7	4	2022/10/14 12:23
MEMORIES	氷無小雪(CV:早見沙織)	「風夏」　サウンドコレクション	ヴァリアス・アーティスト	343266	20	2	2022/10/14 17:23
星間飛行	ランカ・リー=中島愛	「マクロスF」星間飛行	ランカ・リー=中島愛	231222	47	6	2022/10/14 17:48
Nomo	舵	Nomo		162000	0	1	2022/10/14 17:50
星が瞬くこんな夜に	supercell	うたかた花火／星が瞬くこんな夜に	supercell	269346	43	6	2022/10/14 17:54
水星（Cover TOFUBEATS）	最大值胖达	水星		216000	0	7	2022/10/14 18:06
星座と魔法	nqrse/そらる	NEGATIVE		222000	0	4	2022/10/14 18:10
Lonely Christmas	Eason Chan	陳奕迅 廣東精選 (HQCDII)	Eason Chan	280840	46	5	2022/10/26 20:20
聖誕結	Eason Chan	你的陳奕迅 (國語精選)	Eason Chan	281321	41	4	2022/10/26 20:27
Shall We Talk	Eason Chan	你的陳奕迅 (國語精選)	Eason Chan	227277	23	8	2022/10/26 20:27
"One more time, One more chance"	山崎まさよし	HOME	山崎まさよし	330200	62	5	2022/10/26 20:29
青い栞	Galileo Galilei	PORTAL	Galileo Galilei	337960	0	7	2022/11/4 2:10
浅草キッド	"菅田 将暉, 桐谷健太"	PLAY(Special Edition)	菅田 将暉	244426	39	2	2022/11/6 23:28
KICK BACK	米津玄師	KICK BACK	米津玄師	193495	76	7	2022/11/6 23:29
獣ゆく細道	"椎名林檎, 宮本浩次"	三毒史	椎名林檎	220346	55	3	2022/11/6 23:29
気分上々↑↑	"96猫, 置鮎龍太郎, 千葉翔也, Lezel"	テレビアニメ「パリピ孔明」エンディングテーマ「気分上々↑↑」	"96猫, 置鮎龍太郎, 千葉翔也, Lezel"	230960	39	3	2022/11/7 20:40
プラスティック・ラブ	竹内まりや	Expressions	竹内まりや	294493	54	3	2022/11/9 19:07
ヤングアダルト	マカロニえんぴつ	hope	マカロニえんぴつ	258158	64	6	2022/11/12 14:53
青春と一瞬	マカロニえんぴつ	青春と一瞬	マカロニえんぴつ	278536	55	6	2022/11/13 19:05
ブルーベリー・ナイツ	マカロニえんぴつ	hope	マカロニえんぴつ	244869	68	6	2022/11/13 19:47
仲良ピース(男性Ver.)	"ポプ子(CV:大須賀純), ピピ美(CV:高橋広樹)"	Endless Love/仲良ピース	ポプテピピック ALL TIME BEST	194160	6	5	2022/11/15 11:49
オリオンをなぞる	UNISON SQUARE GARDEN	UNISON SQUARE GARDEN The 1st Collection for streaming	UNISON SQUARE GARDEN	262240	43	1	2022/11/15 19:24
如果可以 - From THE FIRST TAKE	WeiBird	如果可以 - From THE FIRST TAKE	WeiBird	166602	26	6	2022/11/15 19:25
青春と一瞬(Strings ver.)From THE FIRST TAKE	マカロニえんぴつ	青春と一瞬(Strings ver.)From THE FIRST TAKE	マカロニえんぴつ	287054	29	7	2022/11/15 19:28
明日大好きなロックンロールバンドがこの街にやってくるんだ - From THE FIRST TAKE	斉藤和義	明日大好きなロックンロールバンドがこの街にやってくるんだ - From THE FIRST TAKE	斉藤和義	339533	16	5	2022/11/15 19:29
違う、そうじゃない	鈴木雅之	違う、そうじゃない/渋谷で5時　〜Romantic Single Version〜	鈴木雅之	249000	38	4	2022/11/15 19:32
スターライト	amazarashi	夕日信仰ヒガシズム	amazarashi	284906	39	2	2022/11/17 20:59
ポルノ映画の看板の下で	amazarashi	ワンルーム叙事詩	amazarashi	355773	27	7	2022/11/26 1:46
14歳	amazarashi	千年幸福論	amazarashi	392040	25	2	2022/11/26 1:47
火種	amazarashi	七号線ロストボーイズ	amazarashi	250373	32	6	2022/11/26 1:47
戸山団地のレインボー	amazarashi	七号線ロストボーイズ	amazarashi	282228	27	4	2022/11/26 1:47
数え歌	amazarashi	命にふさわしい	amazarashi	367653	23	3	2022/11/26 1:47
爆弾の作り方	amazarashi	爆弾の作り方	amazarashi	302386	32	3	2022/11/26 1:48
間抜けなニムロド	amazarashi	七号線ロストボーイズ	amazarashi	254848	27	4	2022/11/26 1:49
春雷	米津玄師	BOOTLEG	米津玄師	288887	67	8	2022/11/29 20:39
Shall We Talk	Eason Chan	Shall We Dance? Shall We Talk!	Eason Chan	227207	50	3	2022/12/1 21:28
古いSF映画	amazarashi	千年幸福論	amazarashi	347946	31	6	2022/12/8 21:22
夕陽無限好	Eason Chan	U 87	Eason Chan	244253	46	4	2022/12/9 18:44
Daisy	STEREO DIVE FOUNDATION	STEREO DIVE	STEREO DIVE FOUNDATION	274893	0	8	2022/12/14 19:27
さよならくちびる	ハルレオ	さよならくちびる	ハルレオ	241253	31	8	2022/12/14 19:31
Fragile	"DJ Okawari, セレイナ・アン"	Nightfall	"DJ Okawari, セレイナ・アン"	271547	32	5	2022/12/14 19:31
Skyfall	アデル	Skyfall	アデル	286081	87	2	2022/12/14 19:47
Someone Like You	アデル	21	アデル	285240	46	1	2022/12/14 19:47
純恋歌	湘南乃風	湘南乃風 〜Riders High〜	湘南乃風	429000	60	3	2022/12/31 2:26
Scarborough Fair	サラ・ブライトマン	Diva: The Singles Collection	サラ・ブライトマン	252480	43	4	2023/1/1 20:40
Oath	ときめきメモリアル Girl's Side 4th Heart Sound Team	ときめきメモリアル Girl's Side 4th Heart Original Soundtrack	ときめきメモリアル Girl's Side 4th Heart Sound Team	273765	21	3	2023/1/2 10:33
怪獣の花唄	Vaundy	strobo	Vaundy	224806	3	4	2023/1/4 14:03
アイラブユー	back number	アイラブユー	back number	235682	59	2	2023/1/4 14:09
新時代	Ado	ウタの歌 ONE PIECE FILM RED	Ado	226813	62	2	2023/1/4 14:09
逆光	Ado	ウタの歌 ONE PIECE FILM RED	Ado	237666	60	7	2023/1/4 14:09
THE LAST ROCKSTARS (PARIS MIX)	"The Last Rockstars, YOSHIKI"	THE LAST ROCKSTARS (PARIS MIX)	"The Last Rockstars, YOSHIKI"	285700	34	1	2023/1/4 14:11
天城越え	石川さゆり	名唱コレクション 石川さゆり 時代の粋を唄う	石川さゆり	293226	49	5	2023/1/4 14:15
サマータイムレコード	じん	メカクシティレコーズ	じん	275440	44	8	2023/1/16 0:18
ウイスキーが、お好きでしょ	石川さゆり	名唱コレクション 石川さゆり 時代の粋を唄う	石川さゆり	181946	42	6	2023/1/16 0:22
アディショナルメモリー	じん	メカクシティリロード	じん	240920	44	7	2023/1/16 0:33
空想フォレスト	じん	メカクシティデイズ	じん	257972	29	3	2023/1/16 0:34
能登半島	石川さゆり	石川さゆり45周年配信限定パッケージ vol.I	石川さゆり	226520	42	2	2023/1/16 20:06
おはようイケブクロ	ヒプノシスマイク -D.R.B- (Buster Bros!!!)	Enter the Hypnosis Microphone	ヒプノシスマイク -D.R.B- (Division All Stars)	267046	34	1	2023/1/17 23:36
Cry Me a River	"Forsvarets Stabsmusikkorps, Angelina Jordan, THE STAFF BAND OF THE NORWEGIAN ARMED FORCES"	It's Magic	"Angelina Jordan, Forsvarets Stabsmusikkorps"	265693	31	4	2023/1/23 18:57
エプロンボーイ	DJみそしるとMCごはん	エプロンボーイのさしすせそ	DJみそしるとMCごはん	167346	0	4	2023/1/30 21:40
"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]"	"エド・シーラン, Jaykae, Aitch, Stormzy"	"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]"	"エド・シーラン, Jaykae, Aitch"	232150	50	4	2023/1/30 21:48
Simon	Dean Ting	神經志 The Journal	Dean Ting	416901	36	3	2023/1/30 21:49
アイトユウ	ラックライフ	アイトユウ	ラックライフ	259532	11	8	2023/1/30 21:51
Perfect Duet (Ed Sheeran & Beyoncé)	"エド・シーラン, ビヨンセ"	Perfect Duet (Ed Sheeran & Beyoncé)	"エド・シーラン, ビヨンセ"	259550	69	8	2023/1/30 21:51
Shape of You	エド・シーラン	÷ (Deluxe)	エド・シーラン	233712	89	4	2023/1/30 21:52
Supermarket Flowers	エド・シーラン	÷ (Deluxe)	エド・シーラン	221106	74	8	2023/1/30 21:52
現実という名の怪物と戦う者たち	高橋優	現実という名の怪物と戦う者たち	高橋優	254400	30	6	2023/1/30 21:53
落日	東京事変	深夜枠	東京事変	252813	42	6	2023/1/30 21:53
おかしなわたしとはちみつのきみ	はちみつロケット	おかしなわたしとはちみつのきみ	はちみつロケット	257120	7	8	2023/1/30 21:55
夏の日	山猿	あいことば2	山猿	235200	35	7	2023/1/30 21:56
夏の音	GReeeeN	C、Dですと！?	GReeeeN	274266	34	1	2023/1/30 21:56
ステップアップLOVE	"Daoko, 岡村靖幸"	THANK YOU BLUE	Daoko	256339	42	5	2023/1/30 21:59
Little Traveler	rairu	ballad	rairu	269300	7	5	2023/1/30 22:02
ドナーソング(カバー)	rairu	灯響プラグレス	"Kain, rairu, すい"	246186	13	6	2023/1/30 22:02
楓(カバー)	"すぃ, rairu"	灯響プラグレス	"Kain, rairu, すい"	336560	5	5	2023/1/30 22:03
妄想感傷代償連盟	DECO*27	GHOST	DECO*27	270000	51	1	2023/1/30 22:04
アンチノミー	amazarashi	アンチノミー	amazarashi	303085	37	5	2023/2/4 2:03
Castle on the Hill - Throttle Remix	"エド・シーラン, Throttle"	Castle on the Hill (Throttle Remix)	エド・シーラン	220879	44	7	2023/2/6 3:25
River	Anonymouz	River	Anonymouz	197997	52	8	2023/2/6 5:08
Can't Help Falling in Love	Haley Reinhart	Better	Haley Reinhart	173174	2	3	2023/2/13 1:49
月光	"キタニタツヤ, はるまきごはん"	月光	キタニタツヤ	234559	43	2	2023/2/14 13:28
花に風	バルーン	花に風	バルーン	225748	50	7	2023/2/14 13:35
第ゼロ感	10-FEET	第ゼロ感	10-FEET	287991	60	7	2023/2/16 16:47
LOVE ROCKETS	The Birthday	LOVE ROCKETS	The Birthday	261385	46	5	2023/2/16 16:48
世界が終るまでは...	上杉昇	世界が終るまでは...	上杉昇	321559	45	6	2023/2/16 16:53
暗夜の心中立て	石川さゆり	X -Cross II-	石川さゆり	250160	18	3	2023/2/22 20:07
暗夜の心中立て	椎名林檎	逆輸入 〜航空局〜	椎名林檎	244893	50	7	2023/2/23 8:42
Dosti	"Hemachandra Vedala, M. M. Keeravaani, Sirivennela Sitaramasastri"	RRR [TELUGU]	M. M. Keeravaani	340431	35	8	2023/2/28 19:17
A Nightingale Sang In Berkeley Square	Southside Players	A Nightingale Sang In Berkeley Square	Southside Players	216624	34	2	2023/3/9 14:23
A Nightingale Sang In Berkeley Square	Tori Amos	Good Omens (Original Television Soundtrack)	David Arnold	180626	5	2	2023/3/9 14:24
Tomorrow never knows	Mr.Children	Tomorrow never knows	Mr.Children	308293	58	2	2023/3/20 16:15
命にふさわしい	Aimer	escalate(Special Edition)	Aimer	352224	29	3	2023/3/20 16:26
napori	Vaundy	strobo	Vaundy	203787	1	4	2023/3/28 9:23
めざせポケモンマスター -with my friends-	サトシ(CV:松本梨香)	めざせポケモンマスター -with my friends-	サトシ(CV:松本梨香)	246253	28	3	2023/3/30 14:54
君が好きだと叫びたい	D-51	Animeno	D-51	231080	51	1	2023/4/6 0:14
ホタルノヒカリ	いきものがかり	ハジマリノウタ	いきものがかり	244066	64	4	2023/4/11 21:33
Moshimo	ダイスケ	星のドロップス	ダイスケ	237426	44	8	2023/4/11 21:34
LINE	スキマスイッチ	LINE	スキマスイッチ	280760	47	7	2023/4/11 21:34
深呼吸	SUPER BEAVER	深呼吸	SUPER BEAVER	283880	39	6	2023/4/11 21:34
LADY	米津玄師	LADY	米津玄師	207166	57	2	2023/4/12 1:51
リンジュー・ラヴ	マカロニえんぴつ	wheel of life	マカロニえんぴつ	186628	33	6	2023/4/15 12:39
Hawái	マルーマ	PAPI JUANCHO	マルーマ	199112	80	3	2023/4/24 17:50
有頂天猫	キヨ	有頂天猫	キヨ	220093	44	6	2023/4/25 1:36
スワイプ	amazarashi	スワイプ	amazarashi	346015	26	4	2023/4/26 21:38
夜明けと蛍	n-buna	花と水飴、最終電車	n-buna	308967	50	1	2023/4/26 21:48
LONGINESS REMIX	"SugLawd Familiar, CHICO CARLITO, Awich"	LONGINESS REMIX	"SugLawd Familiar, CHICO CARLITO, Awich"	254310	56	7	2023/4/28 23:34
TOKAKUKA	秋山竜次(ロバート)	オモクリ名曲全集 秋山竜次(ロバート)篇 (第二集)	秋山竜次(ロバート)	285626	34	1	2023/4/30 0:11
ドキドキ	ジュディー アンド マリー	ＭＩＲＡＣＬＥ　ＤＩＶＩＮＧ	ジュディー アンド マリー	254266	42	5	2023/5/7 20:39
All of Me	ジョン・レジェンド	Love In The Future (Expanded Edition)	ジョン・レジェンド	269556	86	5	2023/5/15 21:32
Strawberry Blush (feat. Free Nationals)	"ジョン・レジェンド, Free Nationals"	LEGEND	ジョン・レジェンド	195963	30	4	2023/5/15 21:33
Wonder Woman	ジョン・レジェンド	LEGEND	ジョン・レジェンド	168562	46	5	2023/5/15 21:33
Splash (feat. Jhené Aiko & Ty Dolla $ign)	"ジョン・レジェンド, Jhené Aiko, タイ･ダラー･サイン"	LEGEND	ジョン・レジェンド	234498	37	7	2023/5/15 21:50
Love (feat. Jazmine Sullivan)	"ジョン・レジェンド, Jazmine Sullivan"	LEGEND	ジョン・レジェンド	173123	31	3	2023/5/15 22:03
Stardust	ジョン・レジェンド	LEGEND	ジョン・レジェンド	256165	28	3	2023/5/17 22:28
Good (feat. Ledisi)	"ジョン・レジェンド, Ledisi"	LEGEND	ジョン・レジェンド	267206	24	3	2023/5/17 22:36
Lay Me Down	"サム・スミス, ジョン・レジェンド"	In The Lonely Hour (Drowning Shadows Edition)	サム・スミス	219535	1	6	2023/5/17 23:10
Tacones Rojos - With John Legend	"Sebastian Yatra, ジョン・レジェンド"	Tacones Rojos (With John Legend)	"Sebastian Yatra, ジョン・レジェンド"	188746	49	2	2023/5/17 23:34
恋	星野 源	POP VIRUS	星野 源	251266	53	8	2023/5/24 21:06
living inside the shell	"Steve Conte, Shanti Snyder"	攻殻機動隊 STAND ALONE COMPLEX　O.S.T.2	菅野よう子	384466	33	8	2023/5/25 19:52
クロノスタシス	BUMP OF CHICKEN	クロノスタシス	BUMP OF CHICKEN	339870	56	4	2023/6/11 1:19
Holy (feat. Chance The Rapper)	"ジャスティン・ビーバー, チャンス・ザ・ラッパー"	Holy	"ジャスティン・ビーバー, チャンス・ザ・ラッパー"	212093	67	6	2023/6/13 9:05
Dope (feat. JID)	"ジョン・レジェンド, JID"	LEGEND	ジョン・レジェンド	158685	34	2	2023/6/20 12:50
All She Wanna Do	ジョン・レジェンド	LEGEND	ジョン・レジェンド	191052	39	1	2023/6/20 13:01
Love To Last	Hajaj	Last Call For Coco	Hajaj	163766	1	3	2023/6/20 14:16
やさしい気持ちで	Superfly	Box Emotions	Superfly	244546	54	8	2023/6/23 17:12
"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce]"	"ポスト・マローン, スワエ・リー, ニッキー・ジャム, Prince Royce, G.O.K.B."	Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture)	ヴァリアス・アーティスト	210000	56	7	2023/6/23 19:58
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)"	"Metro Boomin, スワエ・リー, リル・ウェイン, Offset"	METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)	Metro Boomin	231746	72	7	2023/6/23 19:59
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)"	"Metro Boomin, エイサップ・ロッキー, Roisee"	METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)	Metro Boomin	256026	78	8	2023/6/23 20:01
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)"	"Metro Boomin, フューチャー, リル・ウージー・ヴァート"	METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)	Metro Boomin	245240	64	1	2023/6/23 20:01
Danger (Spider) (Offset & JID)	"Offset, JID"	METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)	Metro Boomin	205266	59	4	2023/6/23 20:02
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)"	"Metro Boomin, スワエ・リー, NAV, A Boogie Wit da Hoodie"	METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)	Metro Boomin	219453	71	2	2023/6/23 20:03
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )"	"Metro Boomin, Don Toliver, Wizkid, BEAM, Toian"	METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)	Metro Boomin	195386	65	1	2023/6/23 20:17
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)	"Metro Boomin, Coi Leray"	METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)	Metro Boomin	189466	73	5	2023/6/23 20:17
可不ちゃんのカレーうどん狂騒曲	南ノ南	可不ちゃんのカレーうどん狂騒曲	南ノ南	181641	33	3	2023/6/24 20:13
きゅうくらりん	いよわ	きゅうくらりん	いよわ	217090	52	6	2023/6/24 20:32
Don't Stop the Clocks	King Gnu	Sympa	King Gnu	136773	48	5	2023/6/28 22:13
Goodbye Nostalgia	Coda	ジョジョの奇妙な冒険 The anthology songs (2)	Coda	271226	20	8	2023/6/29 21:29
キンモクセイ	オレンジスパイニクラブ	イラつくときはいつだって	オレンジスパイニクラブ	231933	57	4	2023/6/30 12:40
月を見ていた - Moongazing	米津玄師	月を見ていた - Moongazing	米津玄師	252340	48	7	2023/6/30 13:00
スピードと摩擦	amazarashi	世界収束二一一六	amazarashi	211600	39	8	2023/7/3 22:31
そんなbitterな話	Vaundy	そんなbitterな話	Vaundy	276082	0	4	2023/7/4 20:40
裏切り者のレクイエム	ハセガワダイスケ	裏切り者のレクイエム	ハセガワダイスケ	210592	45	6	2023/7/5 18:02
RAGE OF DUST	SPYAIR	KINGDOM	SPYAIR	202586	54	3	2023/7/6 17:24
Perfect	エド・シーラン	÷ (Deluxe)	エド・シーラン	263400	89	2	2023/7/8 11:39
Perfect Symphony (Ed Sheeran & Andrea Bocelli)	"エド・シーラン, アンドレア・ボチェッリ"	Perfect Symphony (Ed Sheeran & Andrea Bocelli)	"エド・シーラン, アンドレア・ボチェッリ"	265363	68	3	2023/7/8 11:42
たられば	amazarashi	地方都市のメメント・モリ	amazarashi	363440	34	3	2023/7/13 18:56
Distant Dreamer	ダフィー	Rockferry	ダフィー	305666	47	1	2023/7/15 0:47
Con Te Partirò	アンドレア・ボチェッリ	Bocelli (Remastered)	アンドレア・ボチェッリ	250983	70	1	2023/7/16 12:59
Fall On Me	"アンドレア・ボチェッリ, Matteo Bocelli"	Songs Of Hope And Comfort (Expanded Edition)	アンドレア・ボチェッリ	258693	11	5	2023/7/16 13:00
I Believe	"アンドレア・ボチェッリ, キャサリン・ジェンキンス"	Songs Of Hope And Comfort (Expanded Edition)	アンドレア・ボチェッリ	263840	10	5	2023/7/16 13:14
Bésame Mucho	アンドレア・ボチェッリ	My Love Songs (Expanded Edition)	アンドレア・ボチェッリ	241232	31	2	2023/7/16 13:18
カラノココロ	Anly	anly one	Anly	264226	57	4	2023/7/24 21:57
オドループ	フレデリック	oddloop	フレデリック	255293	55	7	2023/7/25 0:41
人類群星閃耀時 – From THE FIRST TAKE	MIRROR	人類群星閃耀時 – From THE FIRST TAKE	MIRROR	313920	29	8	2023/7/27 21:50
できっこないを　やらなくちゃ	サンボマスター	サンボマスター　究極ベスト	サンボマスター	217920	60	3	2023/8/1 22:44
可能性	サンボマスター	サンボマスターとキミ	サンボマスター	310560	45	2	2023/8/1 23:22
青春狂騒曲	サンボマスター	サンボマスター　究極ベスト	サンボマスター	290173	29	8	2023/8/2 23:01
Nothing	Bruno Major	To Let A Good Thing Die	Bruno Major	162797	74	1	2023/8/5 14:03
オールドファッション	back number	MAGIC	back number	254440	71	7	2023/8/5 14:22
おいしい季節	椎名林檎	ニュートンの林檎	椎名林檎	257000	32	3	2023/8/5 14:39
きみに会いたい -Dance with you-	宮本浩次	宮本、独歩。	宮本浩次	315453	24	5	2023/8/5 15:02
Future is Yours	サンボマスター	Future is Yours	サンボマスター	266400	21	2	2023/8/6 8:33
again	YUI	HOLIDAYS IN THE SUN	YUI	254346	67	1	2023/8/19 0:00
裏切りの夕焼け	シアターブルック	裏切りの夕焼け	シアターブルック	208586	49	8	2023/8/19 0:01
Brave Shine	Aimer	DAWN	Aimer	233493	62	7	2023/8/19 0:01
黄金魂	湘南乃風	黄金魂	湘南乃風	333866	32	4	2023/8/25 0:29
COCO	Aioz	COCO	Aioz	184421	0	5	2023/8/29 12:28
カブトムシ	aiko	桜の木の下	aiko	313941	44	7	2023/8/29 15:41
風が吹く街	ラックライフ	風が吹く街	ラックライフ	249506	47	7	2023/9/5 20:32
名前を呼ぶよ	ラックライフ	名前を呼ぶよ	ラックライフ	270133	42	8	2023/9/5 20:32
零 -ZERO-	福山雅治	零 -ZERO-	福山雅治	254960	46	5	2023/9/5 21:15
チェリー	福山雅治	魂リク	福山雅治	261680	28	6	2023/9/5 21:16
虹	福山雅治	虹／ひまわり／それがすべてさ	福山雅治	248546	54	8	2023/9/6 13:12
しるし	ラックライフ	しるし	ラックライフ	252000	26	1	2023/9/9 11:50
軌跡	ラックライフ	軌跡	ラックライフ	201500	29	5	2023/9/14 10:04
La Japonaise - New Orchestrated Version	"フレディ・マーキュリー, Montserrat Caballé"	Barcelona (Special Edition)	フレディ・マーキュリー	292440	21	3	2023/9/14 22:32
Sugar	マルーン５	V Japan Special Edition	マルーン５	235493	62	3	2023/9/18 21:34
Barcelona	"フレディ・マーキュリー, Montserrat Caballé"	Messenger Of The Gods: The Singles Collection	フレディ・マーキュリー	266586	53	5	2023/9/22 20:07
空はまるで	Monkey Majik	空はまるで	Monkey Majik	226960	53	5	2023/9/22 20:52
Around The World	Monkey Majik	thank you	Monkey Majik	222013	49	2	2023/9/22 20:55
真夜中のドア〜stay with me	松原みき	松原みき ベスト・コレクション	松原みき	312293	54	3	2023/9/30 15:59
A Christmas Song	"Monkey Majik, 小田和正"	20th Anniversary BEST 花鳥風月	Monkey Majik	306800	26	7	2023/10/9 16:35
Eden	Monkey Majik	Eden	Monkey Majik	271520	47	8	2023/10/9 16:36
笑っておくれ	サンボマスター	笑っておくれ	サンボマスター	273600	30	6	2023/10/16 16:24
昴	谷村新司	今 伝えたい	谷村新司	291880	35	2	2023/10/16 16:28
下を向いて歩こう	amazarashi	下を向いて歩こう	amazarashi	302786	20	7	2023/10/18 18:05
Survival of the Illest	ヒプノシスマイク -A.R.B- (Division All Stars)	Survival of the Illest	ヒプノシスマイク -A.R.B- (Division All Stars)	308617	29	5	2023/10/21 20:30
ひろ	amazarashi	夕日信仰ヒガシズム	amazarashi	419560	28	7	2023/10/24 20:43
何とかなれ	古井戸	古井戸の世界	古井戸	179533	21	4	2023/10/24 21:19
SCRAMBLE GAMBLE	"ヒプノシスマイク -D.R.B.- (Fling Posse), ヒプノシスマイク -D.R.B- (有栖川帝統)"	Fling Posse -Before The 2nd D.R.B-	ヒプノシスマイク -D.R.B.- (Fling Posse)	188067	33	1	2023/10/24 21:32
3$EVEN	"ヒプノシスマイク -D.R.B.- (Fling Posse), ヒプノシスマイク -D.R.B- (有栖川帝統)"	Fling Posse -F.P.S.M-	ヒプノシスマイク -D.R.B.- (Fling Posse)	272559	33	2	2023/10/24 21:32
Rivals!	"ヒプノシスマイク -D.R.B- (有栖川帝統), ヒプノシスマイク -D.R.B- (観音坂独歩)"	The Block Party -HOMIEs-	ヒプノシスマイク -D.R.B- (Division All Stars)	198093	35	5	2023/10/24 22:30
インヒューマンエンパシー	amazarashi	永遠市	amazarashi	290293	29	1	2023/10/25 1:25
アンチノミー	amazarashi	永遠市	amazarashi	300733	41	2	2023/10/25 1:25
ごめんねオデッセイ	amazarashi	永遠市	amazarashi	360720	30	2	2023/10/25 1:25
君はまだ夏を知らない	amazarashi	永遠市	amazarashi	369200	26	5	2023/10/25 1:25
自由に向かって逃げろ	amazarashi	永遠市	amazarashi	297720	25	1	2023/10/25 1:25
俯きヶ丘	amazarashi	永遠市	amazarashi	130520	22	1	2023/10/25 1:25
超新星	amazarashi	永遠市	amazarashi	255373	30	4	2023/10/25 1:25
クレプトマニア	amazarashi	永遠市	amazarashi	99306	23	7	2023/10/25 1:25
ディザスター	amazarashi	永遠市	amazarashi	253120	31	7	2023/10/25 1:25
まっさら	amazarashi	永遠市	amazarashi	363333	25	8	2023/10/25 1:25
