トラック名	アーティスト名	アルバム名	アルバムアーティスト名	トラックの長さ（ミリ秒）	人気度	追加者	追加日時
トドカナイカラ	平井堅	トドカナイカラ	平井堅	247066	36	2	2021/9/11 12:19
夏恋慕 (feat. 春茶)	"kobasolo, 春茶"	夏恋慕 (feat. 春茶)	kobasolo	267888	22	4	2021/9/11 12:19
点描の唄	"Mrs. GREEN APPLE, 井上苑子"	青と夏	Mrs. GREEN APPLE	307066	76	4	2021/9/11 12:19
ドライフラワー	優里	ドライフラワー	優里	285586	64	3	2021/9/11 12:20
春愁	Mrs. GREEN APPLE	"Love me, Love you"	Mrs. GREEN APPLE	183800	68	5	2021/9/11 12:20
僕のこと	Mrs. GREEN APPLE	Attitude	Mrs. GREEN APPLE	321306	74	6	2021/9/11 12:20
青と夏	Mrs. GREEN APPLE	Attitude	Mrs. GREEN APPLE	270026	74	5	2021/9/11 12:20
インフェルノ	Mrs. GREEN APPLE	Attitude	Mrs. GREEN APPLE	211600	73	3	2021/9/11 12:20
愛をこめて花束を	Superfly	Superfly	Superfly	295600	70	1	2021/9/11 12:21
Gifts	Superfly	0	Superfly	272120	40	1	2021/9/11 12:21
歌舞伎町の女王	椎名林檎	無罪モラトリアム	椎名林檎	173466	58	8	2021/9/11 12:21
人生は夢だらけ	椎名林檎	逆輸入 〜航空局〜	椎名林檎	194240	62	8	2021/9/11 12:21
丸ノ内サディスティック	椎名林檎	無罪モラトリアム	椎名林檎	235866	68	8	2021/9/11 12:21
Not Angry	Chris James	Not Angry	Chris James	199687	54	2	2021/9/11 12:22
The Green	Chris James	The Art of Overthinking	Chris James	169218	42	6	2021/9/11 12:23
Make the Move	Chris James	MELLOW!	Chris James	175813	0	7	2021/9/11 12:23
I Never Learned	Chris James	The Art of Overthinking	Chris James	152000	38	6	2021/9/11 12:24
Summertime Madness	Chris James	Summertime Madness	Chris James	206653	0	5	2021/9/11 12:24
Dirty Water	Marc E. Bassy	Groovy People	Marc E. Bassy	161106	46	6	2021/9/11 12:24
Breathe Again	アンジェラ (Vo. Alisa)	TVアニメ「キャロル＆チューズデイ」VOCAL COLLECTION Vol.2	ヴァリアス・アーティスト	246866	33	5	2021/9/11 12:27
Day By Day	キャロル&チューズデイ(Vo.Nai Br.XX&Celeina Ann)	TVアニメ「キャロル＆チューズデイ」VOCAL COLLECTION Vol.2	ヴァリアス・アーティスト	206266	33	5	2021/9/11 12:27
After the fire	キャロル&チューズデイ(Vo.Nai Br.XX&Celeina Ann)	TVアニメ「キャロル＆チューズデイ」VOCAL COLLECTION Vol.2	ヴァリアス・アーティスト	228666	35	4	2021/9/11 12:27
Give You The World	フローラ(Vo.Jessica Karpov)	TVアニメ「キャロル＆チューズデイ」VOCAL COLLECTION Vol.2	ヴァリアス・アーティスト	203666	38	5	2021/9/11 12:27
Kiss Me	キャロル&チューズデイ(Vo.Nai Br.XX&Celeina Ann)	Kiss Me/Hold Me Now	キャロル&チューズデイ(Vo.Nai Br.XX&Celeina Ann)	240800	42	2	2021/9/11 12:27
Unbreakable	クリスタル(Vo.Lauren Dyson)	TVアニメ「キャロル＆チューズデイ」VOCAL COLLECTION Vol.1	ヴァリアス・アーティスト	214933	37	8	2021/9/11 12:28
Love Yourself	ピョートル(Vo. J R Price)	TVアニメ「キャロル＆チューズデイ」VOCAL COLLECTION Vol.1	ヴァリアス・アーティスト	200466	30	1	2021/9/11 12:28
You & I	milet	eyes	milet	226626	44	5	2021/9/11 12:29
オーダーメイド	RADWIMPS	アルトコロニーの定理	RADWIMPS	356813	50	6	2021/9/11 12:29
灯火	Vaundy	strobo	Vaundy	178892	0	7	2021/9/11 12:29
